Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian
npcRogueMaleBlondeKhzKnife,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzLBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzM60,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzMachete,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPipeMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPipePistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPipeRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPipeShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzPShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzRocketL,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzSMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzSpear,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzSRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzTRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleBlondeKhzXBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzAK47,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzAShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzAxe,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzBat,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzClub,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzDPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzHRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzKnife,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzLBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzM60,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzMachete,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPipeMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPipePistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPipeRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPipeShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzPShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzRocketL,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzSMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzSpear,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzSRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzTRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleCowboyKhzXBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzAK47,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzAShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzAxe,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzBat,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzClub,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzDPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzHRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzKnife,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzLBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzM60,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzMachete,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPipeMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPipePistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPipeRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPipeShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzPShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzRocketL,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzSMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzSpear,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzSRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzTRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueMaleYoungKhzXBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
npcRogueFemaleAgedKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueFemaleHeavyKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueFemaleLeather01KhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueFemaleLeather02KhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueMaleAgedKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueMaleBlondeKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueMaleCowboyKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueMaleYoungKhzPickUp,entityclasses,Entity,,,Rogue (resting),,Schurke (ruhend),Malviviente (en reposo),Voyou (au repos),Furfante (a riposo),ならず者（休憩中）,무뢰한 (휴식 중),Zakapior (odpoczywa),Marginal (em repouso),Отморозок (отдыхает),Haydut (dinleniyor),恶棍（休息中）,惡棍（休息中）
npcRogueKhzPickUpDesc,entityclasses,Entity,,,You are carrying your hired rogue. Equip to a toolbelt slot and use [action:local:Secondary] to deploy.,,Du trägst deinen angeheuerten Schurken bei dir. In einen Werkzeuggürtel-Slot ausrüsten und mit [action:local:Secondary] platzieren.,Llevas contigo a tu malviviente contratado. Equípalo en un espacio del cinturón de herramientas y usa [action:local:Secondary] para desplegarlo.,Tu transportes ton voyou recruté. Équipe-le dans un emplacement de ceinture et utilise [action:local:Secondary] pour le déployer.,Stai trasportando il tuo furfante assoldato. Equipaggialo in uno slot della cintura e usa [action:local:Secondary] per schierarlo.,雇ったならず者を運んでいます。ツールベルトスロットに装備し、[action:local:Secondary] で配置します。,고용된 무뢰한을 운반 중입니다. 툴벨트 슬롯에 장착하고 [action:local:Secondary]를 사용하여 배치하세요.,"Niesiesz wynajętego zakapiora. Umieść go w gnieździe pasa narzędziowego i użyj [action:local:Secondary], aby go rozstawić.",Você está carregando seu marginal contratado. Equipe-o em um espaço do cinto de ferramentas e use [action:local:Secondary] para posicionar.,Вы несете нанятого отморозка. Поместите его в ячейку пояса и используйте [action:local:Secondary] для размещения.,Kiralık haydutunuzu taşıyorsunuz. Onu bir kemer yuvasına kuşanıp yerleştirmek için [action:local:Secondary] komutunu kullanın.,你正在携带雇佣的恶棍。装备到工具栏槽位并使用 [action:local:Secondary] 进行部署。,你正在攜帶雇傭的惡棍。裝備到工具欄槽位並使用 [action:local:Secondary] 進行部署。 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\Config\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\Prefabs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\Resources\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\Screenshots\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\UIAtlases\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\UIAtlases\ItemIconAtlas\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\1-khzmusik_NPC_Rogues\UIAtlases\UIAtlas\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\2 - Zombie Inc. Apocalyptic Quests Trader Alternative\localization.txt "
Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

ZombieINC_spawnRadio_1,blocks,block,,x,"Radio"
ZombieINC_spawnRadio_2,blocks,block,,x,"Radio (Phase 2)"
ZombieINC_spawnRadio_3,blocks,block,,x,"Radio (Phase 3)"
ZombieINC_spawnRadio_4,blocks,block,,x,"Radio (Phase 4)"
ZombieINC_spawnRadio_5,blocks,block,,x,"Radio (Phase 5)"
ZombieINC_spawnRadio_6,blocks,block,,x,"Radio (Phase 6)"
ZombieINC_NPC_Radio_1,entityclasses,Entity,,x,"Radio"
ZombieINC_NPC_Radio_2,entityclasses,Entity,,x,"Radio"
ZombieINC_NPC_Radio_3,entityclasses,Entity,,x,"Radio"
ZombieINC_NPC_Radio_4,entityclasses,Entity,,x,"Radio"
ZombieINC_NPC_Radio_5,entityclasses,Entity,,x,"Radio"
ZombieINC_NPC_Radio_6,entityclasses,Entity,,x,"Radio"

ZombieINC_Dialog_Radio_Start,Quest,Dialogs,,,"The Radio"
ZombieINC_Dialog_Radio_NeverMind,Quest,Dialogs,,,"Nevermind"
ZombieINC_Dialog_Radio_QuestList,Quest,Dialogs,,,"Quests"
ZombieINC_Dialog_Radio_StartRitual,Quest,Dialogs,,,"Start The Ritual"
ZombieINC_Dialog_Radio_StartUpgradeRitual,Quest,Dialogs,,,"Upgrade the Radio"
ZombieINC_Dialog_Radio_Quest,Quest,Dialogs,,,"Do you want some job ?"
ZombieINC_Dialog_Radio_QuestInProgressNext,Quest,Dialogs,,,"Complete the current quest"
ZombieINC_Dialog_Radio_QuestInProgress,Quest,Dialogs,,,"Quest in progress"
ZombieINC_Dialog_Radio_DisableQuestingNext,Quest,Dialogs,,,"Quests are unavaible"
ZombieINC_Dialog_Radio_DisableQuesting,Quest,Dialogs,,,"Radio is unavailable"
ZombieINC_Dialog_Radio_Pickme,Quest,Dialogs,,,"Recover Radio"
ZombieINC_Dialog_Radio_done,Quest,Dialogs,,,"Done"

ZombieINC_DroneAlreadyHere_BeltTooltip,gameevents,,,X,"Drone Already Here"
ZombieINC_DroneCalled_BeltTooltip,gameevents,,,X,"Drone Arrived"

ZINC_VH1_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_VH2_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_VH3_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_VH4_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_VH5_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_VH6_description_key,Challenges,,,,"Retrieve the designated vehicle to complete the quest. You may face some trouble along the way back, be prepared !\n\nHint: After reaching the buried chest, get out of the hole fast, so you can find the vehicle in better place !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"

ZINC_MD1_description_key,Challenges,,,,"You will be designated to a certain direction while have equiped an antenna to intercept enemy communication. Your objective is to find their buried Intels. Be aware, the antenna can make a lot of noise, so zombies will come to your way.\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_MD2_description_key,Challenges,,,,"You will be designated to a certain direction while have equiped an antenna to intercept enemy communication. Your objective is to find their buried Intels. Be aware, the antenna can make a lot of noise, so zombies will come to your way.\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_MD3_description_key,Challenges,,,,"You will be designated to a certain direction while have equiped an antenna to intercept enemy communication. Your objective is to find their buried Intels. Be aware, the antenna can make a lot of noise, so zombies will come to your way.\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_MD4_description_key,Challenges,,,,"You will be designated to a certain direction while have equiped an antenna to intercept enemy communication. Your objective is to find their buried Intels. Be aware, the antenna can make a lot of noise, so zombies will come to your way.\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"

ZINC_ND1_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_ND2_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_ND3_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_ND4_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_ND5_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area"
ZINC_ND6_description_key,Challenges,,,,"You will be designated with explosives to a POI infested by zombies that are being attracted by corpse, trash and etc. We call that kind of place 'Nests'. Get rid of them, destroy all spots and kill all the zombies there !\n\nThis Quest Type is Available on Ham Radio next to the Helipad on the Trader Area" "C:\7D2D\Custom\5th_Day_Reloaded\Mods\2 - Zombie Inc. Apocalyptic Quests Trader Alternative\Config\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\3 - Zombie Inc. Apocalyptic Quests Defense\localization.txt "
Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

difficulty_very easy,Quests,Quests,,x,Very Easy
difficulty_easy,Quests,Quests,,x,Easy

difficulty_medium,Quests,Quests,,x,Medium

difficulty_Hard,Quests,Quests,,x,Hard
difficulty_hard,Quests,Quests,,x,Hard

difficulty_very Hard,Quests,Quests,,x,Very Hard
difficulty_very hard,Quests,Quests,,x,Very Hard

difficulty_insane,Quests,Quests,,x,Insane
difficulty_Insane,Quests,Quests,,x,Insane

difficulty_Ridiculous,Quests,Quests,,x,Ridiculous
difficulty_ridiculous,Quests,Quests,,x,Ridiculous


ZombieINC_challenge_tier1_DefensePOI_name,Quest,Quest Info,,X,Tier 1 Defend The Construction
ZombieINC_challenge_tier1_DefensePOI_subtitle,Quest,Quest Info,,X,This Is Something
ZombieINC_challenge_tier1_DefensePOI_description,Quest,Quest Info,,X,"The payment is high, so are the risks. You need to head to a building that has already been cleared. There shouldn't be much loot left there, so don't worry about that. In this building, some resources have been placed to help you defend the place against the hordes. At the end of the mission, if anything is left, you can sell it to me for some extra cash !"
ZombieINC_challenge_tier1_DefensePOI_offer,Quest,Quest Info,,X,"Here is the thing, your job is to attract the zombies to the location that I will designate for you. I have a Scout that is prepared to aggro zombies toward you. You need to [DECEA3]kill all zombies from each horde[-]. During that time, other people that I hired will loot the area more peacefully, fetching items for me. Deal?"
ZombieINC_challenge_tier1_DefensePOI_completion,Quest,Quest Info,,X,"Not bad at all, maybe you really have some potential! Here is your reward"
ZombieINC_challenge_tier1_DefensePOI_response,Quest,Quest Info,,X,Defense POI ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_DefensePOI_statement,Quest,Quest Info,,X,"So, you are the new person in the town."



ZombieINC_challenge_tier2_DefensePOI_name,Quest,Quest Info,,X,Tier 2 Defend The Construction
ZombieINC_challenge_tier2_DefensePOI_subtitle,Quest,Quest Info,,X,Something Smells Bad
