Key,english
PerkHOHJavelinDesc,Running around poking zombies with a spear will increase this skill.
PerkHOHClubsBatsDesc,"Using a bat, club or baton will increase this skill."
PerkHOHBowsDesc,Aiming and hitting your target with a bow or crossbow will increase this skill.
PerkHOHPistolsDesc,Knowing how to shoot a handgun is key. Hiting your target will increase this skill.
PerkHOHSMGDesc,This one not available yet
PerkHOHShotgunsDesc,Knowing how to handle this weapon will help you understand a woman. So I was told.
PerkHOHMachineGunsDesc,Using a machine gun will increase this skill.
perkHOHRiflesDesc,Rifles not only great for hunting for fun. But them head shots.
PerkHOHArmorDesc,Taking damage to you armor as well as crafting armor & armor mods will increase this skill.
PerkHOHHealthandBodyDesc,Crafting healing items as well as healing yourself will increase this skill.. Healing someone else give 2x Xp.
PerkHOHTrapsDesc,"Moltov's don't add to this but all other traps do."
PerkHOHStealingDesc,Looting everything you can will increase this skill
PerkHOHQuestingDesc,By doing jobs for the trader will increase your bartering and ability to get more rewards per quest.
PerkHOHCookingDesc,Cooking and eating food will increase this skill
perkHOHOlympicsDesc,"Walking, running, jumping & swimming will increase this skill"
PerkHOHFarmingDesc,Crafting farm plots and harvesting crops increases this skill
PerkHOHJewelerDesc,Craft rings to increase this skill. For every level of this skill you increase your Bartering with the traders.
perkHOHStealthDesc,Crouching increases this skill and makes you more invisible to zombies
PerkHOHHuntingDesc,Just shoot animals self explaning.
PerkHOHWrechesDesc,"Crafting & upgrading frames as well as wrenching items increases this skill."

MiliShelfSml,"Small military storage crate. Made with plastic and metal."
MiliShelfLrg,"Large military storage crate. Made with plastic and metal."












zBayComputer,Z-Bay Online
zBayComputerDesc,"Z-Bay Online sell goods online. Without going to the trader."
casinoCoin,Crappy Brass Coins
casinoCoinDesc,A Crappy Brass Coins. After the epidemic and war these brass coins became the main currency for trading around here.\n\nCan be smelted in a forge to craft firearm ammunition but might wanna holdem also.


zombieExperimentZ,Failed Experiment
zombieExperimentZFeral,Pissed Failed Experiment

zombieParasite,Purple People Eater
zombieParasiteFeral,Pissed Purple People Eater
zombieFatParasite,Booty Cheeks
zombieFatParasiteFeral,Pissed Booty Cheeks
zombieArmy1,Soldier Z
zombieArmy1Feral,Feral Soldier Z
zombieFreshFemale1,Fresh Female Z
zombieFreshFemale1Feral,Feral Fresh Female Z
zombieFreshFemale2,Fresh Female Z
zombieFreshFemale2Feral,Feral Fresh Female Z
zombieFreshFemale3,Fresh Female Z
zombieFreshFemale3Feral,Feral Fresh Female Z
zombieFreshFemale4,Fresh Female Z
zombieFreshFemale4Feral,Feral Fresh Female Z
zombieFreshFemale5,Fresh Female Z
zombieFreshFemale5Feral,Feral Fresh Female Z
zombieFreshMale1,Fresh Male Z
zombieFreshMale1Feral,Feral Fresh Male Z
zombieFreshMale2,Fresh Male Z
zombieFreshMale2Feral,Feral Fresh Male Z



modArmorTreasureHunterV2,Treasure Hunter's Mod V2
modArmorTreasureHunterV2Desc,This AI-enhanced headgear mod boosts learning speed and improves the user's ability to discover valuable loot and buried treasures.\n\n+10% XP Gain\n+10 Loot Stage\nTreasure Radius -2
modArmorTreasureHunterV3,Treasure Hunter's Mod V3
modArmorTreasureHunterV3Desc,This AI-enhanced headgear mod boosts learning speed and improves the user's ability to discover valuable loot and buried treasures.\n\n+10% XP Gain\n+20 Loot Stage\nTreasure Radius -3


modDyeArcherGreen,Archer Neon Green
modDyeArcherRed,Archer Neon Red
modDyeArcherBlue,Archer Neon Blue
modDyeArcherPink,Archer Neon Pink
modDyeArcherOrange,Archer Neon Orange
5thday_Range,"Working Range (Requires Power)"
foodBread,Bread
foodPorkChop,Pork Chop
foodSundayChickenDinner,Chicken Dinner
foodGrilledChicken,Cooked Chicken
foodFriedEggs,Fried Eggs
foodBacon,Bacon





tier1_flogi_explosives_name,Tier 1 Loot Explosives part 1: Get the boom booms
tier2_flogi_explosives_name,Tier 2 Loot Explosives part 1: Get the boom booms
tier3_flogi_explosives_name,Tier 3 Loot Explosives part 1: Get the boom booms
tier4_flogi_explosives_name,Tier 4 Loot Explosives part 1: Get the boom booms
tier5_flogi_explosives_name,Tier 5 Loot Explosives part 1: Get the boom booms
tier6_flogi_explosives_name,Tier 6 Loot Explosives part 1: Get the boom booms
flogi_explosives_subtitle,Loot the explosives!
flogi_explosives_description,I have detected a heavily infested POI. We have made several attempts clearing it but the zombies always come back. First find the explosives on the given coordinates. Then report back to me and grab the Raze POI Quest.
flogi_explosives_offer,I have detected a heavily infested POI. We have made several attempts clearing it but the zombies always come back. First find the explosives on the given coordinates. Then report back to me and grab the Raze POI Quest.
flogi_explosives_statement,Loot the explosives!
flogi_explosives_response,Loot Explosives ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
flogi_explosives_completion,Uh Baby! Now we can blow something up.
tier1_flogi_raze_name,Tier 1 Loot Explosives part 2: Destroy the Infested Building
tier2_flogi_raze_name,Tier 2 Loot Explosives part 2: Destroy the Infested Building
tier3_flogi_raze_name,Tier 3 Loot Explosives part 2: Destroy the Infested Building
tier4_flogi_raze_name,Tier 4 Loot Explosives part 2: Destroy the Infested Building
tier5_flogi_raze_name,Tier 5 Loot Explosives part 2: Destroy the Infested Building
tier6_flogi_raze_name,Tier 6 Loot Explosives part 2: Destroy the Infested Building
flogi_raze_subtitle,Destroy the Infested Building!
flogi_raze_description,The super infested POI is located. Bring it to the ground!
flogi_raze_offer,The super infested POI is located. Bring it to the ground!
flogi_raze_statement,Destroy the Infested Building!
flogi_raze_response,Destroy the Infested Building ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
flogi_raze_completion,Thanks for destroying that POI to the ground. We are a lot safer now!



lootEntity,"[00ff00]{0}[-] Search {1} [00ff00](Untouched)"
lootTooltipNew,"[00ff00]{0}[-] Search {1} [00ff00](Untouched)"
noteDuke01,Note from The Duke of Navezgane
noteDuke01Desc,"Just a friendly reminder that you pay on time, every time or there will be consequences. Next time we won't be so nice. Thanks for the gear, but you still owe us. See you soon. -The Duke"
clothingHelmet,"5th Day Camping Hat"
clothingOutfit,"5th Day Camping Clothes"
clothingGloves,"5th Day Camping Gloves"
clothingBoots,"5th Day Camping Boots"

FlatIronSpikes,Midevil spike trap
FlatTarTrap,Midevil oil trap
