Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
civilianNPCMaleAgedScrubsKhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAgedScrubsKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleAged2KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleCowboyKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleJKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung1KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung2KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzClub,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzBat,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzM60,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCMaleYoung3KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
